TICKER,CORPORATE_CCANAME,CORPORATE_ENAME1
T1833,奥村組,OKUMURA
T1835,東鉄工業,TOTETSU KOGYO
T1840,土屋ホールディングス,TSUCHIYA HOLDINGS
T1841,サンユー建設,SANYU CONSTRUCTION
T1844,大盛工業,OHMORI
T1847,イチケン,ICHIKEN
T1848,富士ピー・エス,FUJI P.S
T184A,学びエイド,MANABI-AID
T1850,南海辰村建設,NANKAI TATSUMURA CONSTURUCTION
T1852,浅沼組,ASANUMA
T1853,森組,MORI-GUMI
T185A,リサイクルテック・ジャパン,RECYCLE TECH JAPAN
T1860,戸田建設,TODA
T1861,熊谷組,KUMAGAI GUMI
T1866,北野建設,KITANO CONSTRUCTION
T1867,植木組,UEKI
T1869,名工建設,MEIKO CONSTRUCTION
T186A,アストロスケールホールディング,ASTROSCALE HOLDINGS
T1870,矢作建設工業,YAHAGI CONSTRUCTION
T1871,ピーエス・コンストラクション,PS CONSTRUCTION
T1873,日本ハウスホールディングス,NIHON HOUSE HOLDINGS
T1878,大東建託,DAITO TRUST CONSTRUCTION
T1879,新日本建設,SHINNIHON
T1882,東亜道路工業,TOA ROAD
T1884,日本道路,NIPPON ROAD
T1885,東亜建設工業,TOA
T1887,日本国土開発,JDC
T1888,若築建設,WAKACHIKU CONSTRUCTION
T1890,東洋建設,TOYO CONSTRUCTION
T1892,徳倉建設,TOKURA
T1893,五洋建設,PENTA-OCEAN CONSTRUCTION
T1897,金下建設,KANESHITA CONSTRUCTION
T1898,世紀東急工業,SEIKITOKYU KOGYO
T1899,福田組,FUKUDA
T189A,Ｄ＆Ｍカンパニー,D&M COMPANY
T1904,大成温調,TAISEI ONCHO
T1905,テノックス,TENOX
T1909,日本ドライケミカル,NIPPON DRY-CHEMICAL
T190A,Ｃｈｏｒｄｉａ　Ｔｈｅｒａｐｅ,CHORDIA THERAPEUTICS
T1911,住友林業,SUMITOMO FORESTRY
T1914,日本基礎技術,JAPAN FOUNDATION ENGINEERING
T191A,ミモザ,MIMOSA
T1921,巴コーポレーション,TOMOE
T1925,大和ハウス工業,DAIWA HOUSE INDUSTRY
T1926,ライト工業,RAITO KOGYO
T1928,積水ハウス,SEKISUI HOUSE
T1929,日特建設,NITTOC CONSTRUCTION
T192A,インテグループ,INTEGROUP
T1930,北陸電気工事,HOKURIKU ELECTRICAL CONSTRUCT
T1934,ユアテック,YURTEC
T1938,日本リーテック,NIPPON RIETEC
T1939,四電工,YONDENKO
T1941,中電工,CHUDENKO
T1942,関電工,KANDENKO
T1944,きんでん,KINDEN
T1945,東京エネシス,TOKYO ENERGY & SYSTEMS
T1946,トーエネック,TOENEC
T1948,弘電社,KODENSHA
T1949,住友電設,SUMITOMO DENSETSU
T194A,ＷＯＬＶＥＳ　ＨＡＮＤ,WOLVES HAND
T1950,日本電設工業,NIPPON DENSETSU KOGYO
T1951,エクシオグループ,EXEO GROUP
T1952,新日本空調,SHIN NIPPON AIR TECHNOLOGIES
T1959,九電工,KYUDENKO
T195A,ＭＵＳＣＡＴ　ＧＲＯＵＰ,MUSCAT GROUP
